epoch ,train/box_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,val/box_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0     ,lr/pg1     ,lr/pg2
    1 ,       1.0176  ,       2.3439  ,       1.0598  ,             0.66068 ,          0.27274 ,         0.52614 ,            0.25209 ,     1.6313  ,     2.5064  ,     1.12    ,0.00046699 ,0.00046699 ,0.00046699
    2 ,       0.92416 ,       1.5534  ,       1.0052  ,             0.57128 ,          0.67713 ,         0.6267  ,            0.41176 ,     1.0744  ,     1.8095  ,     1.0329  ,0.00093399 ,0.00093399 ,0.00093399
    3 ,       0.87758 ,       1.5501  ,       0.99813 ,             0.33648 ,          0.59436 ,         0.47086 ,            0.18804 ,     1.7315  ,     2.8423  ,     1.4276  ,0.0013916  ,0.0013916  ,0.0013916
    4 ,       0.83395 ,       1.471   ,       0.97895 ,             0.42088 ,          0.63126 ,         0.53369 ,            0.39001 ,     1.1362  ,     1.62    ,     1.145   ,0.0013866  ,0.0013866  ,0.0013866
    5 ,       0.84952 ,       1.4036  ,       0.99032 ,             0.58473 ,          0.42051 ,         0.39689 ,            0.25871 ,     1.5751  ,     2.717   ,     1.4597  ,0.0013724  ,0.0013724  ,0.0013724
    6 ,       0.83924 ,       1.3418  ,       0.98679 ,             0.57162 ,          0.61446 ,         0.48916 ,            0.32713 ,     1.5735  ,     2.0083  ,     1.3674  ,0.0013583  ,0.0013583  ,0.0013583
    7 ,       0.80079 ,       1.297   ,       0.97662 ,             0.60734 ,          0.71089 ,         0.60878 ,            0.46904 ,     0.95856 ,     1.4629  ,     1.002   ,0.0013441  ,0.0013441  ,0.0013441
    8 ,       0.72967 ,       1.178   ,       0.94292 ,             0.61577 ,          0.77651 ,         0.64367 ,            0.45004 ,     1.1183  ,     1.2938  ,     1.0589  ,0.00133    ,0.00133    ,0.00133
    9 ,       0.74543 ,       1.1185  ,       0.9492  ,             0.5881  ,          0.62214 ,         0.59167 ,            0.4098  ,     1.2515  ,     1.7786  ,     1.1833  ,0.0013158  ,0.0013158  ,0.0013158
   10 ,       0.70917 ,       1.0862  ,       0.95189 ,             0.56828 ,          0.62357 ,         0.59014 ,            0.43401 ,     1.0278  ,     1.6763  ,     1.0566  ,0.0013017  ,0.0013017  ,0.0013017
   11 ,       0.69223 ,       1.0412  ,       0.93314 ,             0.59379 ,          0.79132 ,         0.69398 ,            0.51742 ,     0.90897 ,     1.0299  ,     0.97166 ,0.0012875  ,0.0012875  ,0.0012875
   12 ,       0.68584 ,       0.96828 ,       0.92921 ,             0.60102 ,          0.84216 ,         0.7552  ,            0.57348 ,     0.84984 ,     0.95083 ,     0.95102 ,0.0012734  ,0.0012734  ,0.0012734
   13 ,       0.67494 ,       0.90864 ,       0.93443 ,             0.69466 ,          0.79981 ,         0.7838  ,            0.58368 ,     0.87795 ,     0.94815 ,     0.9682  ,0.0012592  ,0.0012592  ,0.0012592
   14 ,       0.71508 ,       0.89221 ,       0.93642 ,             0.64016 ,          0.79646 ,         0.75037 ,            0.48428 ,     1.1728  ,     1.1525  ,     1.0621  ,0.0012451  ,0.0012451  ,0.0012451
   15 ,       0.74134 ,       0.87262 ,       0.95634 ,             0.73774 ,          0.76225 ,         0.77747 ,            0.57107 ,     0.97813 ,     1.047   ,     0.99345 ,0.0012309  ,0.0012309  ,0.0012309
   16 ,       0.78956 ,       0.85427 ,       0.97264 ,             0.60534 ,          0.60908 ,         0.63029 ,            0.42071 ,     1.4178  ,     1.6873  ,     1.2306  ,0.0012168  ,0.0012168  ,0.0012168
   17 ,       0.91082 ,       0.88811 ,       1.0223  ,             0.74382 ,          0.83479 ,         0.82436 ,            0.50117 ,     1.3839  ,     0.96811 ,     1.1471  ,0.0012026  ,0.0012026  ,0.0012026
   18 ,       0.90954 ,       0.89167 ,       1.0252  ,             0.7548  ,          0.84501 ,         0.83792 ,            0.56043 ,     1.1304  ,     0.95985 ,     1.063   ,0.0011885  ,0.0011885  ,0.0011885
   19 ,       0.80648 ,       0.84473 ,       0.98338 ,             0.80573 ,          0.67584 ,         0.76193 ,            0.50292 ,     1.4102  ,     1.4831  ,     1.2158  ,0.0011744  ,0.0011744  ,0.0011744
   20 ,       0.76792 ,       0.81495 ,       0.98661 ,             0.7238  ,          0.79126 ,         0.78065 ,            0.58296 ,     1.0246  ,     1.0953  ,     1.0427  ,0.0011602  ,0.0011602  ,0.0011602
