                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0514,                 1.7533,                 1.1403,                 0.0513,                0.63414,                0.04908,                0.03376,                 1.1894,                    inf,                 1.4125,             0.00046699,             0.00046699,             0.00046699
                      2,                0.96252,                 1.0044,                  1.083,                0.02758,                0.19458,                0.01635,                0.00318,                 4.3582,                    inf,                  7.159,             0.00093399,             0.00093399,             0.00093399
                      3,                0.91072,                0.95518,                 1.0787,                0.00071,                0.01652,                0.00037,                0.00017,                 3.4871,                    inf,                 4.5565,              0.0013916,              0.0013916,              0.0013916
                      4,                0.97876,                0.95435,                 1.1121,                0.38823,                0.23277,                0.24289,                0.12419,                 2.3604,                 15.619,                 2.5358,              0.0013866,              0.0013866,              0.0013866
                      5,                0.94103,                 0.9658,                 1.0902,                0.31948,                0.18184,                0.20421,                0.09786,                 2.8034,                 3.3669,                  2.391,              0.0013724,              0.0013724,              0.0013724
                      6,                0.94117,                 0.9523,                  1.092,                0.29765,                0.45939,                0.26751,                0.16554,                 1.8067,                    inf,                  1.884,              0.0013583,              0.0013583,              0.0013583
                      7,                0.90079,                0.92203,                  1.064,                0.48659,                0.50612,                0.48934,                0.30545,                 1.5813,                 1.7368,                 1.3697,              0.0013441,              0.0013441,              0.0013441
                      8,                0.84222,                0.88803,                 1.0325,                0.66391,                0.30356,                0.34224,                0.13589,                 3.0933,                 2.6372,                 2.8333,                0.00133,                0.00133,                0.00133
                      9,                0.83092,                0.84777,                 1.0317,                0.56538,                0.54968,                0.51246,                0.24645,                 2.4582,                 2.8872,                 1.9304,              0.0013158,              0.0013158,              0.0013158
                     10,                0.81356,                0.82036,                 1.0242,                0.58118,                0.71004,                0.62579,                0.38328,                 1.4808,                 1.6679,                 1.2761,              0.0013017,              0.0013017,              0.0013017
                     11,                0.81736,                0.80095,                 1.0205,                0.51851,                0.44302,                0.42333,                0.18302,                 2.2265,                 2.9691,                 1.7234,              0.0012875,              0.0012875,              0.0012875
                     12,                0.80451,                0.84798,                   1.02,                0.53548,                0.53069,                0.53466,                0.27543,                 1.8531,                 2.0328,                 1.5393,              0.0012734,              0.0012734,              0.0012734
                     13,                0.80386,                0.82246,                 1.0193,                0.57641,                0.71262,                0.67103,                0.46043,                 1.1519,                 1.3403,                  1.112,              0.0012592,              0.0012592,              0.0012592
                     14,                0.79474,                0.77058,                 1.0063,                0.67729,                0.76313,                0.77168,                0.53415,                 1.1244,                 1.1518,                 1.0896,              0.0012451,              0.0012451,              0.0012451
                     15,                0.75718,                0.72738,                 1.0069,                0.59657,                0.58712,                0.59615,                 0.3629,                  1.554,                 2.3075,                 1.3615,              0.0012309,              0.0012309,              0.0012309
                     16,                0.80534,                0.75511,                 1.0176,                0.64392,                0.58553,                0.62664,                0.45645,                 1.3248,                 2.2383,                 1.2775,              0.0012168,              0.0012168,              0.0012168
                     17,                0.81918,                0.77855,                 1.0256,                0.50185,                0.31521,                0.31147,                0.20959,                 1.6735,                 4.6101,                 1.3849,              0.0012026,              0.0012026,              0.0012026
                     18,                0.79899,                0.77852,                 1.0016,                0.51466,                0.48052,                0.50391,                0.31763,                 1.6939,                 2.6678,                 1.4463,              0.0011885,              0.0011885,              0.0011885
                     19,                 0.7821,                0.75153,                0.99777,                0.59324,                0.59728,                0.59921,                0.39737,                 1.3653,                 1.7598,                 1.2214,              0.0011744,              0.0011744,              0.0011744
                     20,                 0.8222,                0.73339,                 1.0322,                 0.2973,                0.20334,                0.21541,                 0.1022,                 2.3592,                 4.3354,                 1.7721,              0.0011602,              0.0011602,              0.0011602
                     21,                0.84304,                0.77977,                 1.0235,                0.49915,                0.70286,                0.65024,                0.28917,                 2.1043,                 1.4879,                 1.6833,              0.0011461,              0.0011461,              0.0011461
                     22,                0.97848,                 0.8045,                 1.0608,                0.68354,                0.73085,                0.73084,                0.49113,                  1.231,                 1.1611,                  1.131,              0.0011319,              0.0011319,              0.0011319
                     23,                0.81159,                0.73463,                 1.0045,                0.75209,                0.77642,                0.81631,                  0.536,                 1.3088,                0.85861,                 1.1467,              0.0011178,              0.0011178,              0.0011178
                     24,                 0.8025,                0.69627,                 1.0154,                0.74105,                0.75727,                 0.7791,                0.46891,                 1.4126,                 1.0798,                 1.1884,              0.0011036,              0.0011036,              0.0011036
