                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72587,                 2.1765,                0.92113,                0.63796,                0.22723,                 0.5361,                0.40125,                0.88785,                 2.3054,                0.89728,             0.00046699,             0.00046699,             0.00046699
                      2,                0.68585,                 1.3508,                0.86593,                0.50926,                0.71207,                0.54276,                0.44432,                0.76071,                 1.7526,                0.89331,             0.00093399,             0.00093399,             0.00093399
                      3,                0.64186,                  1.267,                0.86169,                0.51228,                0.65293,                0.54714,                0.41925,                0.92591,                 1.8017,                0.95625,              0.0013916,              0.0013916,              0.0013916
                      4,                0.65787,                 1.2518,                0.86096,                 0.5722,                0.79899,                0.61629,                0.49123,                0.79057,                 1.2826,                0.90337,              0.0013866,              0.0013866,              0.0013866
                      5,                0.61529,                 1.0901,                0.84546,                0.58065,                0.78871,                0.63823,                0.50635,                0.85783,                 1.2581,                0.94726,              0.0013724,              0.0013724,              0.0013724
                      6,                0.62587,                 1.0068,                0.85456,                0.61655,                 0.7488,                 0.6811,                0.51461,                0.87754,                 1.1171,                0.92018,              0.0013583,              0.0013583,              0.0013583
                      7,                0.65191,                0.93816,                0.85195,                0.51775,                0.51952,                0.46185,                0.34371,                 1.0507,                 2.0758,                 1.0565,              0.0013441,              0.0013441,              0.0013441
                      8,                0.68332,                0.89283,                0.86543,                0.57132,                0.68462,                 0.5769,                0.41642,                 1.0583,                 1.7195,                 1.0133,                0.00133,                0.00133,                0.00133
                      9,                0.75352,                0.89757,                0.88809,                 0.5161,                0.59385,                  0.527,                0.32178,                 1.3977,                 2.0723,                 1.1841,              0.0013158,              0.0013158,              0.0013158
                     10,                0.77845,                0.87622,                 0.8988,                0.60077,                0.63964,                0.59574,                0.43835,                 1.0347,                 1.5737,                 1.0272,              0.0013017,              0.0013017,              0.0013017
                     11,                0.68173,                0.75065,                  0.872,                0.66086,                0.69955,                0.66402,                0.47223,                0.94762,                 1.3802,                0.96186,              0.0012875,              0.0012875,              0.0012875
                     12,                0.67366,                0.74456,                0.86755,                0.63221,                0.61928,                0.62046,                0.50349,                0.87414,                 1.6114,                0.96138,              0.0012734,              0.0012734,              0.0012734
                     13,                 0.6489,                0.76697,                0.85906,                0.66781,                0.59842,                0.67143,                0.52819,                0.81209,                 1.3292,                0.92452,              0.0012592,              0.0012592,              0.0012592
                     14,                0.63403,                0.68879,                0.85899,                0.60721,                0.62884,                0.59818,                0.48073,                0.80989,                 1.5447,                 0.9261,              0.0012451,              0.0012451,              0.0012451
                     15,                0.62797,                0.61732,                0.85015,                0.62895,                 0.6618,                0.65361,                0.53415,                0.75162,                 1.3603,                0.89658,              0.0012309,              0.0012309,              0.0012309
                     16,                0.61456,                0.60991,                0.85154,                0.69475,                0.71478,                0.70331,                0.57162,                0.78217,                 1.1738,                0.90811,              0.0012168,              0.0012168,              0.0012168
                     17,                0.62867,                0.61757,                0.85425,                 0.6995,                0.80227,                0.76187,                 0.6301,                0.67655,                0.98903,                0.88017,              0.0012026,              0.0012026,              0.0012026
                     18,                0.58373,                 0.5586,                0.84559,                0.63828,                 0.7418,                0.69634,                0.54539,                0.80482,                 1.2067,                0.91372,              0.0011885,              0.0011885,              0.0011885
                     19,                0.64836,                0.61581,                0.86777,                0.57373,                0.55154,                0.52628,                 0.3971,                  1.022,                 1.8726,                 1.0209,              0.0011744,              0.0011744,              0.0011744
                     20,                    0.7,                0.60036,                0.87105,                0.62148,                0.60139,                0.60448,                0.46437,                0.95593,                 1.5375,                0.96476,              0.0011602,              0.0011602,              0.0011602
