                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.716,                 2.1455,                0.91829,                0.63807,                0.29623,                0.50461,                0.37636,                0.85605,                 2.3134,                0.94799,             0.00046699,             0.00046699,             0.00046699
                      2,                0.67564,                 1.4638,                0.88909,                0.56479,                 0.5834,                0.54015,                0.42186,                 0.8217,                 1.8479,                0.95917,             0.00093399,             0.00093399,             0.00093399
                      3,                0.62196,                 1.3779,                0.87245,                0.52188,                0.62995,                0.55572,                0.45444,                0.75961,                 1.6525,                0.92478,              0.0013916,              0.0013916,              0.0013916
                      4,                0.62079,                 1.3701,                0.88166,                 0.3548,                0.51571,                0.32573,                0.25017,                 1.0449,                 2.4143,                 1.1301,              0.0013866,              0.0013866,              0.0013866
                      5,                0.58446,                  1.266,                0.88248,                0.40513,                0.59206,                0.49081,                0.39944,                0.86652,                 1.9396,                 1.0038,              0.0013724,              0.0013724,              0.0013724
                      6,                0.63685,                  1.153,                0.89701,                0.47041,                0.75194,                0.65586,                0.46043,                0.97695,                 1.4901,                 1.0561,              0.0013583,              0.0013583,              0.0013583
                      7,                0.68329,                 1.0201,                0.91676,                0.65214,                0.74178,                0.71657,                0.53785,                0.90355,                 1.1968,                 0.9965,              0.0013441,              0.0013441,              0.0013441
                      8,                0.68527,                 0.9302,                0.91234,                0.53082,                0.36932,                0.38498,                0.25441,                 1.9796,                 2.6506,                 1.8494,                0.00133,                0.00133,                0.00133
                      9,                0.75836,                0.94677,                0.93855,                0.59924,                0.53739,                 0.5434,                0.35547,                 1.2845,                 2.0034,                 1.2117,              0.0013158,              0.0013158,              0.0013158
                     10,                0.80259,                0.93575,                 0.9543,                0.66206,                0.75722,                0.72201,                0.56034,                0.82478,                 1.1837,                0.97934,              0.0013017,              0.0013017,              0.0013017
                     11,                0.62655,                0.79691,                0.88576,                0.50768,                0.42568,                0.38193,                0.29011,                 1.1925,                 2.3145,                 1.2095,              0.0012875,              0.0012875,              0.0012875
                     12,                0.59852,                0.73825,                0.87549,                 0.5427,                0.35896,                0.39355,                0.30946,                 1.1283,                 2.6816,                 1.1795,              0.0012734,              0.0012734,              0.0012734
                     13,                0.61742,                0.74708,                0.88372,                0.60998,                0.45898,                0.46283,                0.39333,                 1.0669,                 2.1884,                 1.1854,              0.0012592,              0.0012592,              0.0012592
                     14,                0.65932,                0.75017,                0.90281,                0.64775,                0.57708,                0.61132,                0.44897,                 1.0456,                 1.6612,                 1.0679,              0.0012451,              0.0012451,              0.0012451
                     15,                0.67906,                0.68772,                0.90016,                0.72705,                 0.6277,                0.66559,                0.54087,                0.85034,                 1.3456,                 1.0158,              0.0012309,              0.0012309,              0.0012309
                     16,                0.58918,                 0.6026,                0.86927,                0.63065,                0.40543,                 0.4871,                0.39568,                0.91599,                  2.249,                  1.022,              0.0012168,              0.0012168,              0.0012168
                     17,                0.58479,                0.58003,                0.87349,                0.68861,                0.59595,                0.64011,                 0.5194,                0.79481,                 1.4699,                0.95763,              0.0012026,              0.0012026,              0.0012026
                     18,                0.60635,                0.59366,                0.88132,                0.68309,                0.73041,                0.70595,                0.57409,                0.77244,                 1.1935,                0.93166,              0.0011885,              0.0011885,              0.0011885
                     19,                0.57286,                0.55826,                0.86811,                0.69831,                0.71455,                0.71798,                 0.5781,                0.79412,                 1.1594,                0.93637,              0.0011744,              0.0011744,              0.0011744
                     20,                0.57087,                0.55501,                 0.8715,                0.70753,                0.73235,                0.73537,                0.62629,                0.68179,                 1.1845,                0.91364,              0.0011602,              0.0011602,              0.0011602
                     21,                0.50596,                0.48432,                0.84705,                0.69479,                0.72441,                0.71121,                0.61067,                0.64354,                 1.1897,                0.90122,              0.0011461,              0.0011461,              0.0011461
                     22,                0.51774,                0.47411,                0.85027,                0.61131,                0.50596,                0.54269,                0.41749,                 1.1133,                 2.1945,                 1.1696,              0.0011319,              0.0011319,              0.0011319
                     23,                0.56253,                0.48225,                0.86189,                0.69813,                0.61777,                0.64145,                0.55087,                0.78353,                 1.6193,                 1.0095,              0.0011178,              0.0011178,              0.0011178
